DATE,V_ANTERIOR,V_ABERTURA,V_COMPRA,HORA_VENDA,VARIACAO,BUDGET;
29/11/2013,32.30,32.49,32.39,13:22,32.56,0.5249%,1005.2493;
10/12/2013,33.13,33.22,33.21,15:33,33.04,-0.5119%,1000.1034;
11/12/2013,32.85,32.77,,,,, 1000.1034;
12/12/2013,32.20,32.32,32.32,16:22,32.21,-0.3403%,996.7001;
13/12/2013,31.95,31.98,32.03,12:47,31.90,-0.4059%,992.6548;
16/12/2013,31.88,31.93,31.95,17:10,31.84,-0.3443%,989.2371;
17/12/2013,31.79,31.75,,,,, 989.2371;
19/12/2013,31.89,32.10,32.10,17:23,32.01,-0.2804%,986.4635;
20/12/2013,32.35,32.35,,,,, 986.4635;
25/12/2013,31.88,31.99,31.80,35:53,31.80,0.0000%,986.4635;
26/12/2013,31.80,32.00,31.97,27:31,31.96,-0.0313%,986.1549;
27/12/2013,31.90,32.03,32.10,24:02,32.43,1.0280%,996.2929;
07/01/2014,31.58,31.50,,,,, 996.2929;
08/01/2014,30.90,31.14,31.05,17:03,30.97,-0.2576%,993.7260;
09/01/2014,31.08,31.06,,,,, 993.7260;
10/01/2014,29.93,29.97,30.02,16:46,29.93,-0.2998%,990.7468;
13/01/2014,30.09,30.09,,,,, 990.7468;
14/01/2014,29.80,29.70,,,,, 990.7468;
16/01/2014,30.23,30.60,30.71,25:11,30.30,-1.3351%,977.5196;
17/01/2014,30.29,30.50,30.10,21:53,29.97,-0.4319%,973.2978;
22/01/2014,28.48,28.72,28.78,16:53,28.67,-0.3822%,969.5778;
23/01/2014,28.91,28.75,,,,, 969.5778;
24/01/2014,28.15,28.00,,,,, 969.5778;
27/01/2014,28.63,28.63,,,,, 969.5778;
28/01/2014,28.54,29.04,29.00,16:35,28.93,-0.2414%,967.2374;
29/01/2014,28.88,28.89,28.87,13:29,29.42,1.9051%,985.6642;
30/01/2014,29.96,29.94,,,,, 985.6642;
31/01/2014,29.76,29.53,,,,, 985.6642;
03/02/2014,30.00,29.90,,,,, 985.6642;
05/02/2014,29.58,29.74,29.75,14:25,29.99,0.8067%,993.6158;
06/02/2014,29.94,30.15,30.16,10:10,30.10,-0.1989%,991.6391;
07/02/2014,30.80,31.00,30.95,11:51,30.57,-1.2278%,979.4639;
10/02/2014,30.66,30.53,,,,, 979.4639;
11/02/2014,30.44,30.71,30.52,14:31,30.87,1.1468%,990.6963;
12/02/2014,0.00,31.03,31.04,10:08,30.97,-0.2255%,988.4621;
19/02/2014,30.60,30.50,,,,, 988.4621;
20/02/2014,30.90,30.63,,,,, 988.4621;
24/02/2014,30.61,30.51,,,,, 988.4621;
27/02/2014,29.02,29.60,29.55,10:16,29.72,0.5753%,994.1487;
28/02/2014,29.31,29.45,29.12,10:47,29.03,-0.3091%,991.0761;
03/03/2014,29.31,29.45,29.09,21:40,29.09,0.0000%,991.0761;
04/03/2014,29.31,29.45,29.09,21:40,29.09,0.0000%,991.0761;
05/03/2014,29.09,28.83,,,,, 991.0761;
06/03/2014,28.11,28.35,28.25,13:47,28.40,0.5310%,996.3385;
10/03/2014,27.09,26.44,,,,, 996.3385;
11/03/2014,26.37,26.71,26.75,10:05,26.69,-0.2243%,994.1037;
12/03/2014,26.10,25.92,,,,, 994.1037;
13/03/2014,26.46,26.60,26.34,13:31,26.21,-0.4935%,989.1973;
14/03/2014,25.90,25.90,25.91,10:08,25.78,-0.5017%,984.2341;
17/03/2014,26.10,26.17,26.18,10:08,26.32,0.5348%,989.4974;
18/03/2014,26.00,26.20,26.16,15:18,26.55,1.4908%,1004.2491;
19/03/2014,26.55,26.50,,,,, 1004.2491;
26/03/2014,27.61,27.75,27.80,10:42,27.95,0.5396%,1009.6677;
27/03/2014,27.50,27.44,,,,, 1009.6677;
28/03/2014,27.85,28.09,28.07,10:08,27.99,-0.2850%,1006.7901;
31/03/2014,27.81,28.16,28.15,10:14,28.09,-0.2131%,1004.6442;
01/04/2014,28.35,28.51,28.57,10:27,28.52,-0.1750%,1002.8860;
02/04/2014,28.26,28.20,,,,, 1002.8860;
03/04/2014,29.36,29.32,,,,, 1002.8860;
07/04/2014,29.48,29.80,29.66,11:56,29.92,0.8766%,1011.6773;
08/04/2014,30.05,30.50,30.50,10:16,30.45,-0.1639%,1010.0188;
09/04/2014,30.08,29.99,,,,, 1010.0188;
14/04/2014,29.86,29.99,29.94,10:14,29.88,-0.2004%,1007.9947;
15/04/2014,29.22,28.99,,,,, 1007.9947;
